3050614012;echo - Journal der REWE Group
2230901172;(030) Magazin für Berlin
2291001022;11 Freunde - Magazin für Fußball-Kultur
3050201002;24 Stunden Gastlichkeit
2230301002;2Räder - Für alle, die Motorrad fahren
2230122062;360 LIVE Das unabhängige XBox 360 Magazin
2230911342;371 STADTMAGAZIN
3180301062;3R International
4109201052;4-Seasons
3010621042;:K Konstruktion/Design/Systeme
3010201242;kes Die Zeitschrift für Informations-Sicherheit
3010201242;kes Die Zeitschrift für Informations-Sicherheit
3020622232;A & I Anästhesiologie & Intensivmedizin
2670201002;A la Carte - Das Restaurant-Magazin
3160201032;A&D® - Vorsprung Automation
1003624000;Aachener Nachrichten/Heinsberger Nachrichten
1003624000;Aachener Nachrichten/Heinsberger Nachrichten
1003600000;Aachener Zeitung/Aachener Nachrichten Gesamt
1003600000;Aachener Zeitung/Aachener Nachrichten Gesamt
1003626000;Aachener Zeitung/Geilenkirchener Zeitung Ausg. C1
1003626000;Aachener Zeitung/Geilenkirchener Zeitung Ausg. C1
1003622000;Aachener Zeitung/Heinsberger Zeitung Ausg. C2
1003622000;Aachener Zeitung/Heinsberger Zeitung Ausg. C2
1003611000;Aachener Zeitung/Nachrichten Ausgabe A
1003611000;Aachener Zeitung/Nachrichten Ausgabe A
1003611200;Aachener Zeitung/Nachrichten Ausgabe B
1003611200;Aachener Zeitung/Nachrichten Ausgabe B
1003631000;Aachener Zeitung/Nachrichten Ausgabe D
1003631000;Aachener Zeitung/Nachrichten Ausgabe D
1003631200;Aachener Zeitung/Nachrichten Ausgabe E
1003631200;Aachener Zeitung/Nachrichten Ausgabe E
1465200000;Abendzeitung Gesamt
1465200000;Abendzeitung Gesamt
1465200000;Abendzeitung Gesamt
1465200000;Abendzeitung Gesamt
1465200000;Abendzeitung Gesamt
1465200000;Abendzeitung Gesamt
1465211000;Abendzeitung München
1465211000;Abendzeitung München
1465211000;Abendzeitung München
1465211000;Abendzeitung München
1465211000;Abendzeitung München
1465211000;Abendzeitung München
1465211200;Abendzeitung Nürnberg
1465211200;Abendzeitung Nürnberg
2230311012;abenteuer und reisen - Das Erlebnismagazin
2230311012;abenteuer und reisen - Das Erlebnismagazin
2240401482;Abiturient, Der
3190601012;Absatzwirtschaft
2260601012;Academia
2230301012;ACE-Lenkrad
1360020000;Acher- und Bühler Bote 190
1545211800;Acher-Rench-Zeitung 3
1101411600;Achimer Kurier/Verdener Nachrichten
3100101000;ACKER plus
1180020000;ACN Wirtschaftsraum Düsseldorf
1180040000;ACN Wirtschaftsraum Düsseldorf Abo-Zeitungen
1180040007;ACN Wirtschaftsraum Düsseldorf Abo-Zeitungen
1180020007;ACN Wirtschaftsraum Düsseldorf
1375011000;ACN Wirtschaftsraum Köln/Bonn
1375011000;ACN Wirtschaftsraum Köln/Bonn
1375011000;ACN Wirtschaftsraum Köln/Bonn
1375011200;ACN Wirtschaftsraum Köln/Bonn Abo-Zeitungen
1375011200;ACN Wirtschaftsraum Köln/Bonn Abo-Zeitungen
1375011200;ACN Wirtschaftsraum Köln/Bonn Abo-Zeitungen
1375011207;ACN Wirtschaftsraum Köln/Bonn Abo-Zeitungen
1375011207;ACN Wirtschaftsraum Köln/Bonn Abo-Zeitungen
1375011207;ACN Wirtschaftsraum Köln/Bonn Abo-Zeitungen
1375011007;ACN Wirtschaftsraum Köln/Bonn mit Region Aachen
1375011007;ACN Wirtschaftsraum Köln/Bonn mit Region Aachen
1375011007;ACN Wirtschaftsraum Köln/Bonn mit Region Aachen
1180010007;ACN-Gesamt Abo-Zeitungen
1180010007;ACN-Gesamt Abo-Zeitungen
1180010007;ACN-Gesamt Abo-Zeitungen
1180000007;ACN-Gesamtausgabe
1180000007;ACN-Gesamtausgabe
1180000007;ACN-Gesamtausgabe
3051101032;Acquisa Deutschland
2220921300;active woman
2230301632;ACV Profil
2221901322;AD Architectural Digest
2230301022;ADAC motorwelt
2230301022;ADAC motorwelt
2221501056;ADAC Reisemagazin
2221501056;ADAC Reisemagazin
2730220000;Adesso
5720711212;AdipositasSpektrum
2291101052;Aero International
2291101012;aerokurier
3050801012;afz-allgemeine fleischer zeitung
3100401012;Agrartechnik
3100401012;Agrartechnik
3100601032;agrarzeitung Wirtschaft für die Landwirtschaft
1500021020;Ahlener Tageblatt
1276210300;Ahrensburger Zeitung
1026810812;Aichacher Nachrichten
1026810812;Aichacher Nachrichten
1347211400;Aichacher Zeitung 6
4010501192;Air Berlin Magazin
3010301132;AIT Architektur, Innenarchitektur
3010301133;AIT Architektur, Innenarchitektur
2310101392;Aktionär, Der
2310101392;Aktionär, Der
2310101392;Aktionär, Der
3040201012;Aktiv im Ruhestand
2290201133;aktiv Laufen
2220931212;aktuell für die Frau
3020654000;Aktuelle Dermatologie
3020654002;Aktuelle Neurologie
2220901012;Aktuelle, Die
1260211000;Alfelder Zeitung
1260211000;Alfelder Zeitung
1260211000;Alfelder Zeitung
3011101082;All about Sourcing
1302211600;Aller-Zeitung-Wolfsburger Allgemeine
1302211600;Aller-Zeitung-Wolfsburger Allgemeine
2240211062;allergikus
3020614152;Allergo Journal
2940311022;Alles für die Frau
2940311333;Alles Gute
1026821200;Allgäuer Anzeigeblatt
1026821200;Allgäuer Anzeigeblatt
1026821000;Allgäuer Zeitung Füssen
1026821000;Allgäuer Zeitung Füssen
1026821400;Allgäuer Zeitung Kaufbeuren mit Buchloer Zeitung
1026821400;Allgäuer Zeitung Kaufbeuren mit Buchloer Zeitung
1026821600;Allgäuer Zeitung Kempten
1026821600;Allgäuer Zeitung Kempten
1026821800;Allgäuer Zeitung Marktoberdorf
1026821800;Allgäuer Zeitung Marktoberdorf
1026820000;Allgäuer Zeitung Südausgabe
1026820000;Allgäuer Zeitung Südausgabe
3020602452;Allgemeinarzt, Der
3050201012;Allgemeine Bäcker-Zeitung
3010501012;Allgemeine Bauzeitung
3120201012;Allgemeine Hotel- und Gastronomie-Zeitung
1652411200;Allgemeine Laber Zeitung
3190401012;Allgemeine Papier-Rundschau
1501611600;Allgemeine Zeitung
1302221800;Allgemeine Zeitung d. Lüneburger Heide 06
1297611900;Allgemeiner Anzeiger
1297611900;Allgemeiner Anzeiger
2290401082;Alpin
1246011200;Alsfelder Allgemeine
1561211200;Alt-Neuöttinger/Burghauser Anzeiger 7
1561211200;Alt-Neuöttinger/Burghauser Anzeiger 7
0585-00101;Altbayerische Heimatpost
1297612300;Altenaer Kreisblatt
1297612300;Altenaer Kreisblatt
3020401012;Altenheim
3020501012;Altenpflege
2221701012;Althaus Modernisieren
1302221880;Altmark Zeitung Gesamt
1302221902;Altmark Zeitung Ost
1302221900;Altmark Zeitung West
1532411600;Altmühlbote mit NOZ 39
1532411600;Altmühlbote mit NOZ 39
2240401012;Altöttinger Liebfrauenbote
3130401072;ALUMINIUM INTERNATIONAL JOURNAL
3130501082;Aluminium Praxis
4010501172;Amadeus Magazin
1711231200;Amberger Zeitung Amberg/Sulzbach 7
1711231200;Amberger Zeitung Amberg/Sulzbach 7
